Gene	Annotation	Mean Probe Intensity Ev2L168	Median Probe Intensity Ev2L168	Bright Segment Length Dependent Score Ev2L168	Bright Probe Fraction Ev2L168	Mean Bright Probe Intensity Ev2L168	Median Bright Probe Intensity Ev2L168	Mean Probe Intensity Ev2L545	Median Probe Intensity Ev2L545	Bright Segment Length Dependent Score Ev2L545	Bright Probe Fraction Ev2L545	Mean Bright Probe Intensity Ev2L545	Median Bright Probe Intensity Ev2L545	 Ev2L545 / Ev2L168 Median	 Ev2L545 / Ev2L168  Median Absolute Deviation	Mean Probe Intensity Ev2L601	Median Probe Intensity Ev2L601	Bright Segment Length Dependent Score Ev2L601	Bright Probe Fraction Ev2L601	Mean Bright Probe Intensity Ev2L601	Median Bright Probe Intensity Ev2L601	 Ev2L601 / Ev2L168 Median	 Ev2L601 / Ev2L168  Median Absolute Deviation	Mean Probe Intensity Ev2L911	Median Probe Intensity Ev2L911	Bright Segment Length Dependent Score Ev2L911	Bright Probe Fraction Ev2L911	Mean Bright Probe Intensity Ev2L911	Median Bright Probe Intensity Ev2L911	 Ev2L911 / Ev2L168 Median	 Ev2L911 / Ev2L168  Median Absolute Deviation	Mean Probe Intensity Ev2L981	Median Probe Intensity Ev2L981	Bright Segment Length Dependent Score Ev2L981	Bright Probe Fraction Ev2L981	Mean Bright Probe Intensity Ev2L981	Median Bright Probe Intensity Ev2L981	 Ev2L981 / Ev2L168 Median	 Ev2L981 / Ev2L168  Median Absolute Deviation	Mean Probe Intensity Ev2L1281	Median Probe Intensity Ev2L1281	Bright Segment Length Dependent Score Ev2L1281	Bright Probe Fraction Ev2L1281	Mean Bright Probe Intensity Ev2L1281	Median Bright Probe Intensity Ev2L1281	 Ev2L1281 / Ev2L168 Median	 Ev2L1281 / Ev2L168  Median Absolute Deviation	Mean Probe Intensity Ev2L1347	Median Probe Intensity Ev2L1347	Bright Segment Length Dependent Score Ev2L1347	Bright Probe Fraction Ev2L1347	Mean Bright Probe Intensity Ev2L1347	Median Bright Probe Intensity Ev2L1347	 Ev2L1347 / Ev2L168 Median	 Ev2L1347 / Ev2L168  Median Absolute Deviation	Mean Probe Intensity Ev2L1731	Median Probe Intensity Ev2L1731	Bright Segment Length Dependent Score Ev2L1731	Bright Probe Fraction Ev2L1731	Mean Bright Probe Intensity Ev2L1731	Median Bright Probe Intensity Ev2L1731	 Ev2L1731 / Ev2L168 Median	 Ev2L1731 / Ev2L168  Median Absolute Deviation
CAI83531.1	CAI83531.1 putative reductive dehalogenase [Dehalococcoides sp. CBDB1].	1000.956522	405	140	0.695652174	1358.484375	486.5	1392.384079	924.6445189	2116	1	1392.384079	924.6445189	0.783118568	0.367647361	1710.862009	1197.422619	2116	1	1710.862009	1197.422619	1.057503876	0.323887735	2836.273983	2568.573124	1773	0.97826087	2895.468391	2604.125912	1.621730538	0.873103187	568.5283982	422.0085186	298	0.739130435	707.1227461	465.0176399	-0.130160211	0.428242787	1308.977687	673.3701212	775	0.934782609	1381.716649	718.1153428	0.478973647	0.61365312	458.3272348	208.0243938	37	0.282608696	1185.914541	449.062325	-0.627127194	0.305163105	392.7480292	147.6601846	14	0.173913043	1580.833128	934.3831404	-0.929302026	0.372900541
CAI83191.1	CAI83191.1 putative reductive dehalogenase [Dehalococcoides sp. CBDB1].	2085.132075	624	305	0.773584906	2637.609756	1294	3468.563774	2016.609457	2809	1	3468.563774	2016.609457	0.902924315	0.717094961	3506.044595	2060.697507	2809	1	3506.044595	2060.697507	1.037555119	0.727848017	2641.672659	1146.807445	1355	0.962264151	2734.442452	1154.416967	0.337313074	0.282783013	2073.393934	615.2327185	236	0.716981132	2817.370709	1440.081656	-0.105642175	0.31294076	3483.504943	1941.331811	2809	1	3483.504943	1941.331811	0.949927832	0.537335159	1678.483952	530.0771085	264	0.641509434	2525.736546	1003.793474	-0.436004291	0.334137147	2226.255558	577.654812	199	0.58490566	3705.448388	2254.725079	-0.131133179	0.495218542
BAJ06127.1	BAJ06127.1 trichloroethene reductive dehalogenase [uncultured Dehalococcoides sp.].	4256.340909	4241.5	225	0.954545455	4446.452381	4579	3826.891603	3817.823232	225	0.954545455	4002.102378	3830.334967	-0.161549874	0.242619933	4019.420172	3870.401795	225	0.954545455	4200.596924	3976.821654	0.00779163	0.272997942	3868.791796	4023.713178	225	0.954545455	4039.573484	4188.427389	-0.020876387	0.236789006	2747.252463	2659.576554	225	0.954545455	2866.023017	2849.689781	-0.462791661	0.097451469	3490.037424	3621.374784	225	0.954545455	3649.373858	3901.488462	-0.189255259	0.401596636	3159.682787	2637.878848	208	0.909090909	3456.379992	2921.671518	-0.660094464	0.306140754	1599.257248	1673.726289	208	0.909090909	1744.47748	1720.670268	-0.982736153	0.269094377
BAI70451.1	BAI70451.1 reductive dehalogenase [uncultured bacterium].	1892.765957	960	228	0.765957447	2412.666667	1835	3509.71604	2112.760948	1097	0.957446809	3657.105337	2125.430006	0.631094362	0.522606649	3829.125129	2569.978289	1097	0.957446809	3989.235883	2840.034586	0.650738856	0.506969686	2611.198648	1881.368175	685	0.914893617	2837.087559	2118.708344	0.322038426	0.401222091	2018.798227	1177.748313	252	0.808510638	2456.556739	1549.268587	-0.093967021	0.280394883	3900.918218	2885.490201	1097	0.957446809	4065.805546	2962.633471	0.738316784	0.620768228	2205.945535	861.5157336	120	0.638297872	3356.646538	1578.355671	-0.418687225	0.339031847	1741.073642	904.5022851	178	0.723404255	2346.876237	1488.32482	-0.356178582	0.34513816
BAG55976.1	BAG55976.1 reductive dehalogenase [uncultured bacterium].	1065.6	481.5	31	0.55	1816.545455	1452.5	2372.59645	2150.871855	400	1	2372.59645	2150.871855	1.144795396	0.790626488	2838.209627	2444.969387	400	1	2838.209627	2444.969387	1.228742374	0.753512146	1771.039813	1912.683523	400	1	1771.039813	1912.683523	0.456872896	0.37185563	1194.792158	1085.713124	57	0.65	1742.512514	1543.701364	-0.10565888	0.346364814	2780.53198	2682.858352	400	1	2780.53198	2682.858352	1.117847963	0.630672189	846.0503416	554.4624501	61	0.65	1229.002753	740.8058609	-0.540618184	0.29977817	808.3062893	631.0565971	57	0.65	1185.880457	886.2554475	-0.50976461	0.612937279
BAF57046.1	BAF57046.1 putative PCE dehalogenase [Desulfitobacterium sp. CR1].	1274.518182	1073	766	0.909090909	1390.42	1170.25	1031.994239	927.21907	850	0.945454545	1082.832083	937.4964489	-0.297654193	0.256403799	782.9067552	694.1746013	839	0.927272727	831.6430207	702.4511308	-0.598526074	0.197307589	731.0752823	609.2296015	668	0.872727273	808.4603234	673.9641911	-0.685971573	0.205034017	2211.029646	1932.598493	2340	0.981818182	2249.382105	1946.352666	0.493039449	0.277304313	368.3943418	276.9094683	52	0.4	630.4533525	483.2754176	-1.430721961	0.343581792	2858.6779	2383.698957	2340	0.981818182	2908.361615	2389.353744	0.664683555	0.244936337	1032.414211	840.424036	1201	0.963636364	1066.418686	881.7521495	-0.275831744	0.301934901
BAF34982.1	BAF34982.1 trichloroethene reductive dehalogenase [uncultured Dehalococcoides sp.].	5398.796296	4365	939	0.944444444	5712.215686	4553	4905.130866	3952.858396	939	0.944444444	5189.898407	4071.673217	-0.107302751	0.237366341	5192.786682	4204.963972	939	0.944444444	5494.357207	4566.773341	-0.031182313	0.223784849	4752.161772	4098.899638	939	0.944444444	5027.645561	4301.128045	-0.081002474	0.285433515	3759.161428	3079.049305	939	0.944444444	3976.735129	3132.568778	-0.360848977	0.297667729	4231.935901	3887.573819	939	0.944444444	4477.212502	3916.92143	-0.209926361	0.306100565	4128.717888	2760.887307	875	0.907407407	4537.694273	3817.142669	-0.440652577	0.390093939	2673.467601	2104.905172	906	0.925925926	2878.782366	2183.06271	-0.769825652	0.373279777
BAE82944.1	BAE82944.1 probable chlorophenol reductive dehalogenase [Desulfitobacterium hafniense Y51].	4328	3695	1089	1	4328	3695	2652.471576	2101.165504	1089	1	2652.471576	2101.165504	-0.63919231	0.184313272	1640.82238	1278.246439	1089	1	1640.82238	1278.246439	-1.161092854	0.11532965	985.7254302	789.3078151	1089	1	985.7254302	789.3078151	-1.604716884	0.298311779	4698.307021	3679.810019	1089	1	4698.307021	3679.810019	-0.05383542	0.166664706	667.3674236	518.3429163	1089	1	667.3674236	518.3429163	-2.053128063	0.312680969	13304.15057	10563.09574	1089	1	13304.15057	10563.09574	0.969873724	0.168867591	4052.365584	3567.602521	1089	1	4052.365584	3567.602521	-0.183574623	0.212474251
ADR80140.1	ADR80140.1 putative reductive dehalogenase [uncultured Dehalococcoides sp.].	2302.368421	1213	52	0.736842105	3061.607143	1890.75	4057.612207	2779.9179	361	1	4057.612207	2779.9179	0.753978077	0.515540237	4316.47205	3114.225922	361	1	4316.47205	3114.225922	0.809673116	0.565397457	2615.554207	2041.491231	180	0.947368421	2751.344098	2236.374264	0.305940152	0.255125736	2028.781367	1098.824118	78	0.842105263	2381.116438	1308.229911	-0.152122386	0.324002873	4282.478336	3449.642977	361	1	4282.478336	3449.642977	0.915183056	0.395188884	3641.590374	1142.852112	55	0.789473684	4576.8363	1401.446745	-0.338973519	0.593181778	2256.737621	1165.329931	78	0.842105263	2666.233808	1276.266944	-0.324866674	0.443190401
ADR00316.1	ADR00316.1 TceA protein [Dehalococcoides sp. enrichment culture SL2 clone SL2-DCE-G1].	6959.1875	6342.75	277	0.958333333	7259.304348	6660	6251.603897	6281.613677	576	1	6251.603897	6281.613677	-0.185104559	0.196610391	6664.087373	6215.110571	576	1	6664.087373	6215.110571	-0.076434433	0.291713981	6073.502967	5882.854566	576	1	6073.502967	5882.854566	-0.149828044	0.418015994	4724.072806	4716.436521	576	1	4724.072806	4716.436521	-0.429335305	0.271219047	5166.64109	4951.86317	576	1	5166.64109	4951.86317	-0.303837252	0.322843465	4708.075625	3863.91849	576	1	4708.075625	3863.91849	-0.426977863	0.303391173	3593.595809	2805.647715	576	1	3593.595809	2805.647715	-0.716766884	0.326979087
