Gene	Annotation	Mean Probe Intensity Ev5L193 	Median Probe Intensity Ev5L193 	Bright Segment Length Dependent Score Ev5L193 	Bright Probe Fraction Ev5L193 	Mean Bright Probe Intensity Ev5L193 	Median Bright Probe Intensity Ev5L193 	Mean Probe Intensity Ev5L400 	Median Probe Intensity Ev5L400 	Bright Segment Length Dependent Score Ev5L400 	Bright Probe Fraction Ev5L400 	Mean Bright Probe Intensity Ev5L400 	Median Bright Probe Intensity Ev5L400 	 Ev5L400 / Ev5L193 Median	 Ev5L400 / Ev5L193  Median Absolute Deviation	Mean Probe Intensity Ev5L669 	Median Probe Intensity Ev5L669 	Bright Segment Length Dependent Score Ev5L669 	Bright Probe Fraction Ev5L669 	Mean Bright Probe Intensity Ev5L669 	Median Bright Probe Intensity Ev5L669 	 Ev5L669 / Ev5L193 Median	 Ev5L669 / Ev5L193  Median Absolute Deviation	Mean Probe Intensity Ev5L863 	Median Probe Intensity Ev5L863 	Bright Segment Length Dependent Score Ev5L863 	Bright Probe Fraction Ev5L863 	Mean Bright Probe Intensity Ev5L863 	Median Bright Probe Intensity Ev5L863 	 Ev5L863 / Ev5L193 Median	 Ev5L863 / Ev5L193  Median Absolute Deviation	Mean Probe Intensity Ev5L1104 	Median Probe Intensity Ev5L1104 	Bright Segment Length Dependent Score Ev5L1104 	Bright Probe Fraction Ev5L1104 	Mean Bright Probe Intensity Ev5L1104 	Median Bright Probe Intensity Ev5L1104 	 Ev5L1104 / Ev5L193 Median	 Ev5L1104 / Ev5L193  Median Absolute Deviation	Mean Probe Intensity Ev5L1283 	Median Probe Intensity Ev5L1283 	Bright Segment Length Dependent Score Ev5L1283 	Bright Probe Fraction Ev5L1283 	Mean Bright Probe Intensity Ev5L1283 	Median Bright Probe Intensity Ev5L1283 	 Ev5L1283 / Ev5L193 Median	 Ev5L1283 / Ev5L193  Median Absolute Deviation	Mean Probe Intensity Ev5L1635 	Median Probe Intensity Ev5L1635 	Bright Segment Length Dependent Score Ev5L1635 	Bright Probe Fraction Ev5L1635 	Mean Bright Probe Intensity Ev5L1635 	Median Bright Probe Intensity Ev5L1635 	 Ev5L1635 / Ev5L193 Median	 Ev5L1635 / Ev5L193  Median Absolute Deviation	Mean Probe Intensity Ev5L1799 	Median Probe Intensity Ev5L1799 	Bright Segment Length Dependent Score Ev5L1799 	Bright Probe Fraction Ev5L1799 	Mean Bright Probe Intensity Ev5L1799 	Median Bright Probe Intensity Ev5L1799 	 Ev5L1799 / Ev5L193 Median	 Ev5L1799 / Ev5L193  Median Absolute Deviation
AAW39605.1	"AAW39605.1 reductive dehalogenase, putative [Dehalococcoides ethenogenes 195]."	3345.90566	2571	2809	1	3345.90566	2571	5187.23298	2909.215477	2704	0.981132075	5279.529742	2956.777581	0.027972541	0.277227618	3959.667162	2259.386747	2809	1	3959.667162	2259.386747	0.046005997	0.264157532	4502.401007	3323.212842	2809	1	4502.401007	3323.212842	0.220762761	0.200109951	4776.669041	2399.264703	2809	1	4776.669041	2399.264703	-0.005066577	0.252055916	4133.950843	2366.296585	2809	1	4133.950843	2366.296585	-0.021767548	0.167368242	7246.935681	5616.19557	2809	1	7246.935681	5616.19557	0.757973735	0.219903488	7273.719698	6016.74552	2809	1	7273.719698	6016.74552	0.83820642	0.376512814
CAI83191.1	CAI83191.1 putative reductive dehalogenase [Dehalococcoides sp. CBDB1].	4849.424528	3568	2809	1	4849.424528	3568	4075.935962	2558.558134	2809	1	4075.935962	2558.558134	-0.247339947	0.276916415	6433.01137	5243.066064	2809	1	6433.01137	5243.066064	0.407024393	0.305576152	6669.411498	5143.766971	2809	1	6669.411498	5143.766971	0.481338125	0.239014643	4907.945413	3590.070489	2809	1	4907.945413	3590.070489	0.044624877	0.223697818	5854.526768	4543.233748	2809	1	5854.526768	4543.233748	0.253312381	0.244609444	6850.151642	4748.780381	2809	1	6850.151642	4748.780381	0.426420156	0.387245673	9388.651069	6851.431938	2809	1	9388.651069	6851.431938	0.647500797	0.390922495
AAW40589.1	"AAW40589.1 reductive dehalogenase, putative [Dehalococcoides ethenogenes 195]."	3943.107843	3521	2601	1	3943.107843	3521	6491.624124	3860.878771	2601	1	6491.624124	3860.878771	0.044219447	0.285228423	3859.712509	3140.772356	2601	1	3859.712509	3140.772356	-0.053314539	0.137100227	3504.301579	3079.29068	2601	1	3504.301579	3079.29068	-0.111508277	0.180876687	4289.885822	4023.346025	2601	1	4289.885822	4023.346025	0.117967044	0.190050154	4631.919445	3618.381933	2601	1	4631.919445	3618.381933	0.046773605	0.175851109	7455.393235	6906.153287	2601	1	7455.393235	6906.153287	0.661128324	0.16270247	8198.49919	7145.207536	2601	1	8198.49919	7145.207536	0.827102617	0.257346226
ABQ16695.1	ABQ16695.1 reductive dehalogenase [Dehalococcoides sp. BAV1].	5630.607843	4180	2601	1	5630.607843	4180	3828.511295	2649.287204	2601	1	3828.511295	2649.287204	-0.453672433	0.24671373	6832.567438	5619.779363	2601	1	6832.567438	5619.779363	0.375516735	0.199723668	7439.759858	6276.240926	2601	1	7439.759858	6276.240926	0.457005043	0.184013708	5439.457123	5065.879767	2601	1	5439.457123	5065.879767	0.160184281	0.175276689	7744.117853	6994.47447	2601	1	7744.117853	6994.47447	0.531082927	0.194131572	6603.555461	5396.455842	2601	1	6603.555461	5396.455842	0.339681917	0.223389389	10326.01479	8774.797532	2601	1	10326.01479	8774.797532	0.807585408	0.429425552
AAW39214.1	"AAW39214.1 reductive dehalogenase, putative [Dehalococcoides ethenogenes 195]."	8643.03	5566.5	2500	1	8643.03	5566.5	18813.54392	6154.483429	2500	1	18813.54392	6154.483429	0.267725091	0.353601084	18641.6998	6048.231836	2500	1	18641.6998	6048.231836	0.218153645	0.246675998	13178.96814	6227.471677	1465	0.98	13443.63842	6340.512631	0.166156747	0.531278174	14435.43946	7125.339111	2500	1	14435.43946	7125.339111	0.305614244	0.438394181	22018.45774	6713.382418	2500	1	22018.45774	6713.382418	0.307306797	0.613406557	15884.54388	8941.108351	2500	1	15884.54388	8941.108351	0.543883299	0.242222636	14382.24485	8395.322281	2500	1	14382.24485	8395.322281	0.576932817	0.358186099
ABQ16703.1	ABQ16703.1 reductive dehalogenase [Dehalococcoides sp. BAV1].	3922.27	2754	2500	1	3922.27	2754	2095.986453	1257.022698	2500	1	2095.986453	1257.022698	-0.654604784	0.275919253	10640.25083	2816.332747	2500	1	10640.25083	2816.332747	0.06349068	0.335846482	2988.020414	2579.831061	2500	1	2988.020414	2579.831061	-0.014512852	0.382914792	2268.559735	1972.145133	2500	1	2268.559735	1972.145133	-0.284320514	0.260047201	2765.824943	2477.313011	2500	1	2765.824943	2477.313011	-0.080527476	0.348814589	3046.462811	2488.593244	2500	1	3046.462811	2488.593244	-0.082146372	0.395056459	4727.452862	4162.095217	2500	1	4727.452862	4162.095217	0.345246612	0.351141897
ADC74676.1	ADC74676.1 reductive dehalogenase [Dehalococcoides sp. GT].	5902.36	5135.5	2500	1	5902.36	5135.5	5219.605699	3828.774544	2500	1	5219.605699	3828.774544	-0.253152488	0.185613097	7568.468533	6104.418337	2500	1	7568.468533	6104.418337	0.19612206	0.154699466	7980.553299	6885.902818	2500	1	7980.553299	6885.902818	0.244933718	0.172425951	7018.435808	5508.463048	2500	1	7018.435808	5508.463048	0.162052935	0.116122886	7363.003626	5551.790179	2500	1	7363.003626	5551.790179	0.127028199	0.162092742	7613.552907	5914.832846	2500	1	7613.552907	5914.832846	0.161983705	0.188284477	10429.54058	8215.757621	2500	1	10429.54058	8215.757621	0.550605284	0.245718875
ADC74708.1	ADC74708.1 reductive dehalogenase [Dehalococcoides sp. GT].	12507.99	5525.75	2500	1	12507.99	5525.75	12226.13813	4427.048606	2500	1	12226.13813	4427.048606	-0.131772198	0.376573141	15181.28422	6974.14828	2500	1	15181.28422	6974.14828	0.309328787	0.307395351	19923.58444	7066.803836	2500	1	19923.58444	7066.803836	0.377763907	0.299347036	11416.85368	5224.346809	2500	1	11416.85368	5224.346809	-0.100087478	0.380420481	17408.19758	7353.659822	2500	1	17408.19758	7353.659822	0.253673873	0.43092178	16172.58793	6484.311571	2500	1	16172.58793	6484.311571	0.213526478	0.336174806	22709.81797	7984.627581	2500	1	22709.81797	7984.627581	0.516504414	0.333760308
AAR24312.1	AAR24312.1 reductive dehalogenase homologous protein RdhA9 [Dehalococcoides sp. CBDB1].	7014.653061	3753	2401	1	7014.653061	3753	22229.43534	8292.36826	2401	1	22229.43534	8292.36826	0.276332643	0.84281998	6607.501547	5485.51768	2401	1	6607.501547	5485.51768	0.312335831	0.400488897	8249.410246	5129.231772	2210	0.979591837	8416.05989	5212.251635	0.346760137	0.364857954	10817.82988	5585.60257	2401	1	10817.82988	5585.60257	0.153909617	0.328859487	9458.493637	5448.452199	2401	1	9458.493637	5448.452199	0.400961676	0.313789161	4442.355401	3507.744593	1394	0.979591837	4528.282181	3565.433677	-0.037742561	0.317097676	8688.688331	6509.497201	2401	1	8688.688331	6509.497201	0.544555911	0.437458921
AAW39229.1	"AAW39229.1 reductive dehalogenase, putative [Dehalococcoides ethenogenes 195]."	5366.673469	4732	2401	1	5366.673469	4732	5280.18426	4098.751673	2401	1	5280.18426	4098.751673	-0.199500028	0.495503863	5435.961556	3899.335599	2401	1	5435.961556	3899.335599	-0.158183887	0.346109422	5350.007763	4843.623405	2401	1	5350.007763	4843.623405	-0.035783153	0.274305977	5539.334129	4902.656311	2401	1	5539.334129	4902.656311	-0.063741351	0.47533916	5453.88715	4652.768252	2401	1	5453.88715	4652.768252	-0.050784278	0.39247254	8769.022328	7079.088769	2401	1	8769.022328	7079.088769	0.431864159	0.266823612	8453.880741	6641.008061	2401	1	8453.880741	6641.008061	0.40650894	0.381594828
