Gene	Annotation	Mean Probe Intensity PM2L_7-29-09 	Median Probe Intensity PM2L_7-29-09 	Bright Segment Length Dependent Score PM2L_7-29-09 	Bright Probe Fraction PM2L_7-29-09 	Mean Bright Probe Intensity PM2L_7-29-09 	Median Bright Probe Intensity PM2L_7-29-09 	Mean Probe Intensity PM2L_1-X-10 	Median Probe Intensity PM2L_1-X-10 	Bright Segment Length Dependent Score PM2L_1-X-10 	Bright Probe Fraction PM2L_1-X-10 	Mean Bright Probe Intensity PM2L_1-X-10 	Median Bright Probe Intensity PM2L_1-X-10 	 PM2L_1-X-10 / PM2L_7-29-09 Median	 PM2L_1-X-10 / PM2L_7-29-09  Median Absolute Deviation	Mean Probe Intensity PM2L_3-24-10 	Median Probe Intensity PM2L_3-24-10 	Bright Segment Length Dependent Score PM2L_3-24-10 	Bright Probe Fraction PM2L_3-24-10 	Mean Bright Probe Intensity PM2L_3-24-10 	Median Bright Probe Intensity PM2L_3-24-10 	 PM2L_3-24-10 / PM2L_7-29-09 Median	 PM2L_3-24-10 / PM2L_7-29-09  Median Absolute Deviation	Mean Probe Intensity PM2L_1-6-11 	Median Probe Intensity PM2L_1-6-11 	Bright Segment Length Dependent Score PM2L_1-6-11 	Bright Probe Fraction PM2L_1-6-11 	Mean Bright Probe Intensity PM2L_1-6-11 	Median Bright Probe Intensity PM2L_1-6-11 	 PM2L_1-6-11 / PM2L_7-29-09 Median	 PM2L_1-6-11 / PM2L_7-29-09  Median Absolute Deviation	Mean Probe Intensity PM2L_4-19-11 	Median Probe Intensity PM2L_4-19-11 	Bright Segment Length Dependent Score PM2L_4-19-11 	Bright Probe Fraction PM2L_4-19-11 	Mean Bright Probe Intensity PM2L_4-19-11 	Median Bright Probe Intensity PM2L_4-19-11 	 PM2L_4-19-11 / PM2L_7-29-09 Median	 PM2L_4-19-11 / PM2L_7-29-09  Median Absolute Deviation
AAW39605.1	"AAW39605.1 reductive dehalogenase, putative [Dehalococcoides ethenogenes 195]."	9334.150943	4748	2809	1	9334.150943	4748	7593.645202	3952.389343	2809	1	7593.645202	3952.389343	-0.221792538	0.137940436	8602.656877	5188.542918	2809	1	8602.656877	5188.542918	-0.07663806	0.565932313	21859.38826	20876.79903	2809	1	21859.38826	20876.79903	1.211841252	0.722267077	27333.13825	23764.69821	2809	1	27333.13825	23764.69821	1.291945788	0.792467535
CAI83191.1	CAI83191.1 putative reductive dehalogenase [Dehalococcoides sp. CBDB1].	34651.54717	30938.5	2809	1	34651.54717	30938.5	32294.11206	27918.8142	2809	1	32294.11206	27918.8142	-0.129772325	0.114017196	12396.07864	11267.73045	2809	1	12396.07864	11267.73045	-1.076983518	0.257937225	17875.6607	15759.26988	2809	1	17875.6607	15759.26988	-0.729293	0.372461195	9679.453402	5015.032522	2809	1	9679.453402	5015.032522	-1.584329362	1.01436739
AAT64888.1	AAT64888.1 putative vinyl chloride reductive dehalogenase bvcA [Dehalococcoides sp. BAV1].	1356.794118	1288.5	2601	1	1356.794118	1288.5	1848.440065	1601.551037	2601	1	1848.440065	1601.551037	0.300437621	0.120197771	504.9709288	277.2529067	30	0.196078431	1574.741169	1078.92169	-1.546835587	0.325558708	1019.351019	911.7941637	833	0.882352941	1096.633044	933.3063808	-0.312733113	0.215636782	442.0365608	248.9322533	68	0.274509804	1018.021763	877.310978	-1.685382732	0.380825311
AAW40589.1	"AAW40589.1 reductive dehalogenase, putative [Dehalococcoides ethenogenes 195]."	8325.147059	8296	2601	1	8325.147059	8296	3585.151022	3531.274495	2601	1	3585.151022	3531.274495	-0.813562852	0.131307372	2329.471892	2068.680461	2601	1	2329.471892	2068.680461	-1.511865039	0.398924264	26151.46076	25634.74649	2601	1	26151.46076	25634.74649	1.135287659	0.256769313	32686.72255	29545.36386	2601	1	32686.72255	29545.36386	1.28598223	0.258083398
ABQ16695.1	ABQ16695.1 reductive dehalogenase [Dehalococcoides sp. BAV1].	10654.57843	9954	2601	1	10654.57843	9954	4714.695529	4463.070545	2601	1	4714.695529	4463.070545	-0.812817739	0.186231001	6460.685235	5386.935747	2601	1	6460.685235	5386.935747	-0.582881132	0.20739641	485.4995339	290.2353862	16	0.196078431	1252.647667	708.3228486	-3.416098438	0.483194142	1824.094465	648.4587721	319	0.803921569	2154.958641	725.9671147	-2.566345646	0.377442989
ABQ16712.1	ABQ16712.1 reductive dehalogenase [Dehalococcoides sp. BAV1].	7439.666667	6699	2601	1	7439.666667	6699	2007.755985	1904.672907	2601	1	2007.755985	1904.672907	-1.273109364	0.21162086	2298.13597	1377.040935	1268	0.980392157	2336.688977	1406.511071	-1.607484525	0.49192379	560.8652094	351.0627613	24	0.235294118	1352.563674	1246.046455	-2.917139678	0.619747537	1478.229983	710.1731677	177	0.647058824	2050.459404	984.6584197	-2.265130825	0.575019701
AAW39214.1	"AAW39214.1 reductive dehalogenase, putative [Dehalococcoides ethenogenes 195]."	5702.97	4377.5	2500	1	5702.97	4377.5	6495.300964	4939.029015	1213	0.98	6620.705744	5068.21313	-0.148402272	0.600528719	7714.542904	3448.776988	572	0.88	8720.379673	4205.900771	-0.316492147	0.962175266	17468.4518	16150.00187	2500	1	17468.4518	16150.00187	1.148879685	0.424561635	29922.80082	18937.73513	2500	1	29922.80082	18937.73513	1.350452431	0.87601972
ABQ16703.1	ABQ16703.1 reductive dehalogenase [Dehalococcoides sp. BAV1].	6017	5958.5	2500	1	6017	5958.5	2059.188652	2049.249934	2500	1	2059.188652	2049.249934	-1.092811206	0.182886085	3564.904651	1566.601505	2500	1	3564.904651	1566.601505	-1.394253776	0.218205258	454.7006387	289.8969273	11	0.14	1416.682805	742.3764921	-2.855362547	0.385886696	1014.987221	547.9522711	86	0.56	1472.569129	710.0371886	-2.38365423	0.2828367
ADC74651.1	ADC74651.1 reductive dehalogenase [Dehalococcoides sp. GT].	3518.29	3048	2500	1	3518.29	3048	4809.051484	4472.010275	2500	1	4809.051484	4472.010275	0.298197555	0.134794124	11568.6785	10430.98827	2500	1	11568.6785	10430.98827	1.135678685	0.237172532	4041.315295	3237.734617	2500	1	4041.315295	3237.734617	0.044016237	0.431523544	2189.741904	1813.840757	745	0.82	2586.52641	2015.888435	-0.78151299	0.588473061
ADC74655.1	ADC74655.1 reductive dehalogenase [Dehalococcoides sp. GT].	5174.7	5265.5	2500	1	5174.7	5265.5	5092.098048	5209.624692	2500	1	5092.098048	5209.624692	-0.008474444	0.182792552	8130.89716	7201.549734	2500	1	8130.89716	7201.549734	0.394875448	0.210795344	4002.824443	3977.122152	2500	1	4002.824443	3977.122152	-0.249997893	0.179087348	2563.018641	953.2905961	485	0.78	3174.256138	1342.183967	-1.694451272	0.595589838
ADC74658.1	ADC74658.1 reductive dehalogenase [Dehalococcoides sp. GT].	2467.04	2196.25	2500	1	2467.04	2196.25	5088.793206	4647.040822	2500	1	5088.793206	4647.040822	0.758029218	0.087784795	9515.210313	6142.305998	2500	1	9515.210313	6142.305998	0.951232733	0.878636277	5232.855979	4044.053507	2500	1	5232.855979	4044.053507	0.58455208	0.361629917	2955.966272	1222.218829	561	0.78	3689.689661	2227.562562	-0.474466506	1.041408898
ADC74676.1	ADC74676.1 reductive dehalogenase [Dehalococcoides sp. GT].	13037.98	12349.5	2500	1	13037.98	12349.5	23138.70151	22451.66042	2500	1	23138.70151	22451.66042	0.58823943	0.122182859	18202.77554	16694.68663	2500	1	18202.77554	16694.68663	0.284905463	0.363702731	20996.71742	20908.28452	2500	1	20996.71742	20908.28452	0.482180829	0.213996417	11768.02746	8038.583474	2500	1	11768.02746	8038.583474	-0.390632488	0.565251438
ADC74708.1	ADC74708.1 reductive dehalogenase [Dehalococcoides sp. GT].	14345.39	12352.5	2500	1	14345.39	12352.5	20571.27125	17825.91175	2500	1	20571.27125	17825.91175	0.3464044	0.260644415	21264.93681	18111.53761	2500	1	21264.93681	18111.53761	0.309599348	0.316583324	21967.91301	18851.31374	2500	1	21967.91301	18851.31374	0.448819626	0.477322119	17712.28037	8352.183921	2500	1	17712.28037	8352.183921	-0.126796255	0.816085718
BAG72167.1	BAG72167.1 reductive dehalogenase homologouse [uncultured bacterium].	10153.75	8774	2500	1	10153.75	8774	18046.30374	17322.01071	2500	1	18046.30374	17322.01071	0.653387093	0.231750307	6371.907184	4044.867091	2500	1	6371.907184	4044.867091	-0.84869159	0.300576361	17975.94548	16583.13762	2500	1	17975.94548	16583.13762	0.614419802	0.236155336	25015.64089	3272.029001	2500	1	25015.64089	3272.029001	-1.072026928	0.326493751
AAR24312.1	AAR24312.1 reductive dehalogenase homologous protein RdhA9 [Dehalococcoides sp. CBDB1].	13194.20408	10824	2401	1	13194.20408	10824	19156.95425	18209.43858	2401	1	19156.95425	18209.43858	0.370992359	0.237684724	23628.14059	17844.36553	2401	1	23628.14059	17844.36553	0.502039501	0.419802068	17176.5941	16205.52861	1109	0.959183673	17895.87092	17254.14193	0.213394396	0.284210496	10079.03101	8763.438702	1160	0.979591837	10283.45003	8847.041594	-0.592212189	0.66617105
AAW39229.1	"AAW39229.1 reductive dehalogenase, putative [Dehalococcoides ethenogenes 195]."	3531.561224	2400.5	2401	1	3531.561224	2400.5	3280.733628	1969.110277	2304	0.979591837	3339.232793	2067.526137	-0.27733432	0.544562018	4581.221611	2538.90145	1154	0.93877551	4852.013315	2836.595867	-0.056471361	0.484734039	10739.26713	8075.402853	2401	1	10739.26713	8075.402853	1.046025275	0.387299589	43865.39978	26765.37184	2401	1	43865.39978	26765.37184	2.540750022	0.653367048
ABA64547.1	ABA64547.1 reductive dehalogenase protein [Dehalococcoides sp. KB1].	6573.071429	4911	2401	1	6573.071429	4911	8824.678985	8420.639413	2401	1	8824.678985	8420.639413	0.363451798	0.258122001	25554.74448	18806.0746	2401	1	25554.74448	18806.0746	1.306170595	0.306228035	8276.342147	7091.199041	2401	1	8276.342147	7091.199041	0.178188449	0.292620841	4144.710028	2528.769277	2401	1	4144.710028	2528.769277	-0.918209671	0.400313243
ADC74548.1	ADC74548.1 reductive dehalogenase [Dehalococcoides sp. GT].	14676.30612	14003	2401	1	14676.30612	14003	22639.06816	21076.92058	2401	1	22639.06816	21076.92058	0.448464536	0.162397681	24090.51302	16906.28128	1952	0.979591837	24582.11002	17125.52658	0.291959304	0.345660186	20036.13149	19527.85324	2401	1	20036.13149	19527.85324	0.316709915	0.289396496	17160.88252	7152.176047	1952	0.979591837	17512.85417	7189.382269	-0.601715817	0.739976717
ADC74550.1	ADC74550.1 reductive dehalogenase [Dehalococcoides sp. GT].	10575.56122	9068.5	2401	1	10575.56122	9068.5	19490.24517	17710.58909	2401	1	19490.24517	17710.58909	0.616972002	0.144094619	7392.430187	4681.775911	2401	1	7392.430187	4681.775911	-0.809360656	0.258336099	19053.81407	17522.13492	2401	1	19053.81407	17522.13492	0.594545119	0.239021459	29266.19999	3477.223451	2401	1	29266.19999	3477.223451	-1.025514442	0.329629989
ADC74627.1	ADC74627.1 reductive dehalogenase [Dehalococcoides sp. GT].	2733.714286	2344	2401	1	2733.714286	2344	4981.361026	4979.425853	2401	1	4981.361026	4979.425853	0.669895824	0.515035607	3001.300244	2319.732398	972	0.93877551	3168.322147	2488.129554	-0.103231274	0.421112982	2888.292951	2210.52323	2029	0.959183673	3003.478287	2339.724448	0.079249168	0.632187882	1486.781142	836.2488915	175	0.673469388	2040.856374	1200.135354	-1.030257524	0.649755896
ADC74673.1	ADC74673.1 reductive dehalogenase [Dehalococcoides sp. GT].	12271.86735	11436.5	2401	1	12271.86735	11436.5	21720.00009	20791.3243	2401	1	21720.00009	20791.3243	0.586379135	0.187152939	14081.43778	10929.47962	2401	1	14081.43778	10929.47962	0.009049079	0.363113549	24726.00468	21683.64392	2401	1	24726.00468	21683.64392	0.651078767	0.271601844	35047.45634	29874.75899	2401	1	35047.45634	29874.75899	0.895180556	0.525231257
