Gene	Annotation	Mean Probe Intensity VS2L242 	Median Probe Intensity VS2L242 	Bright Segment Length Dependent Score VS2L242 	Bright Probe Fraction VS2L242 	Mean Bright Probe Intensity VS2L242 	Median Bright Probe Intensity VS2L242 	Mean Probe Intensity VS2L295 	Median Probe Intensity VS2L295 	Bright Segment Length Dependent Score VS2L295 	Bright Probe Fraction VS2L295 	Mean Bright Probe Intensity VS2L295 	Median Bright Probe Intensity VS2L295 	 VS2L295 / VS2L242 Median	 VS2L295 / VS2L242  Median Absolute Deviation	Mean Probe Intensity VS2L605 	Median Probe Intensity VS2L605 	Bright Segment Length Dependent Score VS2L605 	Bright Probe Fraction VS2L605 	Mean Bright Probe Intensity VS2L605 	Median Bright Probe Intensity VS2L605 	 VS2L605 / VS2L242 Median	 VS2L605 / VS2L242  Median Absolute Deviation	Mean Probe Intensity VS2L675 	Median Probe Intensity VS2L675 	Bright Segment Length Dependent Score VS2L675 	Bright Probe Fraction VS2L675 	Mean Bright Probe Intensity VS2L675 	Median Bright Probe Intensity VS2L675 	 VS2L675 / VS2L242 Median	 VS2L675 / VS2L242  Median Absolute Deviation	Mean Probe Intensity VS2L925 	Median Probe Intensity VS2L925 	Bright Segment Length Dependent Score VS2L925 	Bright Probe Fraction VS2L925 	Mean Bright Probe Intensity VS2L925 	Median Bright Probe Intensity VS2L925 	 VS2L925 / VS2L242 Median	 VS2L925 / VS2L242  Median Absolute Deviation	Mean Probe Intensity VS2L1041 	Median Probe Intensity VS2L1041 	Bright Segment Length Dependent Score VS2L1041 	Bright Probe Fraction VS2L1041 	Mean Bright Probe Intensity VS2L1041 	Median Bright Probe Intensity VS2L1041 	 VS2L1041 / VS2L242 Median	 VS2L1041 / VS2L242  Median Absolute Deviation	Mean Probe Intensity VS2L1425 	Median Probe Intensity VS2L1425 	Bright Segment Length Dependent Score VS2L1425 	Bright Probe Fraction VS2L1425 	Mean Bright Probe Intensity VS2L1425 	Median Bright Probe Intensity VS2L1425 	 VS2L1425 / VS2L242 Median	 VS2L1425 / VS2L242  Median Absolute Deviation
CAI83570.1	CAI83570.1 putative reductive dehalogenase [Dehalococcoides sp. CBDB1].	255.08	76	2	0.04	3683	3683	231.278305	72.45009726	4	0.08	1743.524083	891.0290756	-0.037582475	0.103154993	1026.38513	724.0193846	939	0.94	1071.830839	743.8871024	2.13659929	0.434884991	2015.425552	1600.873191	2500	1	2015.425552	1600.873191	2.950828645	0.554144812	830.1465817	422.3890049	100	0.48	1405.877222	669.2491809	1.538237098	0.347675143	489.5481872	108.6309182	11	0.1	3729.760103	849.8621094	0.306506164	0.157484795	565.368967	258.1820414	28	0.24	1631.220602	976.7313526	1.125391962	0.334760149
CAI83566.1	CAI83566.1 putative reductive dehalogenase [Dehalococcoides sp. CBDB1].	176.8645833	66.25	5	0.0625	1552.666667	926	194.3021002	63.19151593	5	0.0625	1840.341379	1173.207371	-0.032951127	0.115946632	778.6976033	516.0569608	194	0.666666667	1019.072246	596.0329127	1.805973953	0.51070937	1761.312858	1397.579702	1585	0.979166667	1790.63288	1438.555203	2.816437349	0.515983921	456.5157618	292.2263685	16	0.208333333	1246.791258	587.9393845	1.302510566	0.494124686	261.6852677	91.00906548	9	0.104166667	1662.356387	901.0939557	0.274798556	0.269647237	386.7744334	218.9893182	10	0.125	1604.800342	853.814704	1.048606183	0.468159237
CAI83563.1	CAI83563.1 putative reductive dehalogenase [Dehalococcoides sp. CBDB1].	73.61956522	59	0	0	0	0	72.24094427	60.51780668	0	0	0	0	-0.039930085	0.079667174	412.2844017	386.1132032	64	0.434782609	575.1653492	551.1845048	1.632801824	0.446372747	1054.625136	1015.339307	1557	0.97826087	1070.83145	1016.222721	2.60148461	0.488996632	229.4951668	198.6941928	4	0.043478261	591.2045835	591.2045835	1.113736964	0.449089937	85.5072667	70.23885498	0	0	0	0	0.142354435	0.164782231	190.3406446	167.1944873	2	0.043478261	474.168777	474.168777	0.915841314	0.324106923
CAI83531.1	CAI83531.1 putative reductive dehalogenase [Dehalococcoides sp. CBDB1].	918.3695652	874	694	0.869565217	1007.8375	951	1044.453501	763.2628961	487	0.847826087	1172.783976	864.59945	-0.06521156	0.099791889	7043.251501	5839.942019	1773	0.97826087	7191.16097	5853.845032	2.023755589	0.757502273	13832.29661	12340.81411	2116	1	13832.29661	12340.81411	2.766771994	0.753163147	3701.498812	2837.666893	1157	0.934782609	3933.796101	2969.440958	1.324324602	0.865249585	1680.263168	1146.063977	550	0.826086957	1981.76058	1744.403161	0.512925363	0.755644811	3494.822921	2483.31943	1127	0.891304348	3879.26241	2661.693855	1.292373844	0.923176783
CAI83191.1	CAI83191.1 putative reductive dehalogenase [Dehalococcoides sp. CBDB1].	2089.245283	1178	1094	0.905660377	2266.114583	1620.5	2916.473993	2011.745607	2809	1	2916.473993	2011.745607	0.346467043	0.280710369	2758.181654	1362.285426	1152	0.905660377	3005.728718	1937.695445	0.19821243	0.23536409	3578.059609	2469.491947	2809	1	3578.059609	2469.491947	0.64245158	0.2683412	2273.413051	1220.077516	685	0.849056604	2613.46877	1714.817022	-0.019835331	0.158558953	1860.279882	874.5510435	206	0.641509434	2752.884179	1600.486274	-0.301179327	0.370014663	2580.762524	1728.844768	956	0.830188679	3041.486812	1928.751258	-0.023437649	0.302889997
BAJ06127.1	BAJ06127.1 trichloroethene reductive dehalogenase [uncultured Dehalococcoides sp.].	3100.204545	3095.5	225	0.954545455	3228.5	3115	3812.546301	3847.218832	484	1	3812.546301	3847.218832	0.256064075	0.190969338	4876.442158	4748.192287	225	0.954545455	5088.241909	4882.723323	0.240842216	0.252627467	3594.022678	3528.919696	225	0.954545455	3747.115175	3536.296054	0.021792991	0.201701267	1844.825068	1793.822385	208	0.909090909	2003.17588	1855.50976	-0.562207478	0.159001614	2065.193793	1886.048511	225	0.954545455	2153.469355	1924.663654	-0.465931346	0.105776118	3116.817351	2122.446931	225	0.954545455	3253.721765	2234.438602	-0.369135237	0.21240024
BAI70451.1	BAI70451.1 reductive dehalogenase [uncultured bacterium].	2640.297872	1736	401	0.872340426	2983	1997.5	2931.311153	2689.150361	466	0.893617021	3251.085756	2775.779294	0.152347692	0.214280542	4849.789513	3046.397557	1097	0.957446809	5056.762925	3133.560814	0.499345038	0.307034774	4690.860561	3531.744897	1097	0.957446809	4890.480214	3539.483985	0.640495149	0.394392236	2611.600584	1693.939961	554	0.893617021	2893.096984	1946.724756	0.016666251	0.30748586	2348.052763	1516.574033	368	0.808510638	2851.213846	1835.137989	-0.217745963	0.193335768	3314.200772	1788.295926	526	0.893617021	3676.03759	2299.468515	0.0264892	0.230490365
BAG72167.1	BAG72167.1 reductive dehalogenase homologouse [uncultured bacterium].	396.75	85	11	0.14	2087.642857	1378	379.5431645	98.22876659	10	0.12	2206.846728	1593.039257	-0.002609568	0.166204488	1562.376318	463.331787	155	0.58	2488.030781	643.1225878	1.361997404	0.51620602	1617.558806	918.1485221	1184	0.96	1670.404306	949.0323543	2.03951202	0.673902793	925.065706	270.7743558	25	0.26	2900.752468	692.8332155	0.807525659	0.418330109	715.0069507	183.1547038	22	0.2	2900.130217	908.4593846	0.385003452	0.322298134	2748.380996	288.7541141	37	0.3	8614.092688	753.4012606	0.85950554	0.396149846
BAG55976.1	BAG55976.1 reductive dehalogenase [uncultured bacterium].	1910.75	1753.75	131	0.85	2204.647059	2568.5	2063.345921	1849.521532	146	0.9	2248.026402	2381.00482	0.071626007	0.128433243	3973.97243	3594.539173	185	0.95	4174.968999	3817.994354	0.74399601	0.420104835	3916.209497	2707.134638	185	0.95	4108.105578	2851.508455	0.753085099	0.417055534	2003.117919	1677.906299	136	0.8	2420.539098	2515.933804	0.052677559	0.310953356	1508.807076	1215.39882	68	0.7	2074.900987	2044.820921	-0.320529016	0.294158385	3179.234303	2039.082972	105	0.85	3697.375533	2659.168409	0.177366502	0.483622547
BAF57046.1	BAF57046.1 putative PCE dehalogenase [Desulfitobacterium sp. CR1].	3994.418182	3551.5	2340	0.981818182	4063.37963	3558	1909.717989	1745.549413	2340	0.981818182	1941.68308	1753.793771	-0.724978112	0.136248937	620.2981927	501.9250303	143	0.636363636	810.5243799	695.5388774	-1.979752859	0.242570645	857.2284619	737.0261358	560	0.836363636	963.716581	782.1833166	-1.620326043	0.165857517	3687.75871	3193.901728	2340	0.981818182	3753.238649	3238.682985	-0.135627774	0.15474319	4215.586088	3569.5943	2340	0.981818182	4289.854493	3591.089172	0.025300979	0.131444263	2482.811489	2192.479532	1201	0.963636364	2567.502832	2251.6011	-0.499386012	0.138999719
