Gene	Annotation	Mean Probe Intensity VS5L64 	Median Probe Intensity VS5L64 	Bright Segment Length Dependent Score VS5L64 	Bright Probe Fraction VS5L64 	Mean Bright Probe Intensity VS5L64 	Median Bright Probe Intensity VS5L64 	Mean Probe Intensity VS5L111 	Median Probe Intensity VS5L111 	Bright Segment Length Dependent Score VS5L111 	Bright Probe Fraction VS5L111 	Mean Bright Probe Intensity VS5L111 	Median Bright Probe Intensity VS5L111 	 VS5L111 / VS5L64 Median	 VS5L111 / VS5L64  Median Absolute Deviation	Mean Probe Intensity VS5L251 	Median Probe Intensity VS5L251 	Bright Segment Length Dependent Score VS5L251 	Bright Probe Fraction VS5L251 	Mean Bright Probe Intensity VS5L251 	Median Bright Probe Intensity VS5L251 	 VS5L251 / VS5L64 Median	 VS5L251 / VS5L64  Median Absolute Deviation	Mean Probe Intensity VS5L477 	Median Probe Intensity VS5L477 	Bright Segment Length Dependent Score VS5L477 	Bright Probe Fraction VS5L477 	Mean Bright Probe Intensity VS5L477 	Median Bright Probe Intensity VS5L477 	 VS5L477 / VS5L64 Median	 VS5L477 / VS5L64  Median Absolute Deviation	Mean Probe Intensity VS5L687 	Median Probe Intensity VS5L687 	Bright Segment Length Dependent Score VS5L687 	Bright Probe Fraction VS5L687 	Mean Bright Probe Intensity VS5L687 	Median Bright Probe Intensity VS5L687 	 VS5L687 / VS5L64 Median	 VS5L687 / VS5L64  Median Absolute Deviation	Mean Probe Intensity VS5L833 	Median Probe Intensity VS5L833 	Bright Segment Length Dependent Score VS5L833 	Bright Probe Fraction VS5L833 	Mean Bright Probe Intensity VS5L833 	Median Bright Probe Intensity VS5L833 	 VS5L833 / VS5L64 Median	 VS5L833 / VS5L64  Median Absolute Deviation	Mean Probe Intensity VS5L973 	Median Probe Intensity VS5L973 	Bright Segment Length Dependent Score VS5L973 	Bright Probe Fraction VS5L973 	Mean Bright Probe Intensity VS5L973 	Median Bright Probe Intensity VS5L973 	 VS5L973 / VS5L64 Median	 VS5L973 / VS5L64  Median Absolute Deviation	Mean Probe Intensity VS5L1071 	Median Probe Intensity VS5L1071 	Bright Segment Length Dependent Score VS5L1071 	Bright Probe Fraction VS5L1071 	Mean Bright Probe Intensity VS5L1071 	Median Bright Probe Intensity VS5L1071 	 VS5L1071 / VS5L64 Median	 VS5L1071 / VS5L64  Median Absolute Deviation
CAI83191.1	CAI83191.1 putative reductive dehalogenase [Dehalococcoides sp. CBDB1].	8367.537736	6912	2809	1	8367.537736	6912	9084.011986	6300.944406	2809	1	9084.011986	6300.944406	-0.087555686	0.344644393	10235.00938	6629.673432	2809	1	10235.00938	6629.673432	-0.089714048	0.496560914	13510.98514	9211.540228	2809	1	13510.98514	9211.540228	0.376698745	0.26193304	17072.93358	12555.12539	2809	1	17072.93358	12555.12539	0.616210294	0.230625268	9868.334927	7294.374726	1402	0.943396226	10421.38534	7589.908506	0.042817761	0.952075436	17370.14479	12238.0333	2809	1	17370.14479	12238.0333	0.611812635	0.239779462	102757.5509	2924.28214	1474	0.943396226	108882.9098	3126.440795	-0.878630257	1.288761494
AAW40589.1	"AAW40589.1 reductive dehalogenase, putative [Dehalococcoides ethenogenes 195]."	7316.647059	4661.5	2601	1	7316.647059	4661.5	19840.46188	17659.24704	2601	1	19840.46188	17659.24704	1.347113004	0.341955526	26129.63898	25178.66738	2601	1	26129.63898	25178.66738	1.49450787	0.364950821	21181.28317	19368.251	2601	1	21181.28317	19368.251	1.33931501	0.30972165	20103.29752	18928.16588	2601	1	20103.29752	18928.16588	1.233679935	0.403458379	30826.03205	29562.29496	2601	1	30826.03205	29562.29496	1.836681986	0.281981522	15578.42557	14205.31194	2601	1	15578.42557	14205.31194	1.010324852	0.349511732	81034.31511	4757.806614	739	0.882352941	91769.83143	7183.481574	-0.212129999	2.068534765
ABQ16695.1	ABQ16695.1 reductive dehalogenase [Dehalococcoides sp. BAV1].	7679.784314	7129	2601	1	7679.784314	7129	7332.140447	6323.150812	2601	1	7332.140447	6323.150812	-0.071024966	0.142865592	6531.72311	5751.515361	2601	1	6531.72311	5751.515361	-0.191415598	0.217446211	12773.53128	11323.38087	2601	1	12773.53128	11323.38087	0.489459492	0.139935331	13683.91619	11869.44723	2601	1	13683.91619	11869.44723	0.569223897	0.15603445	2883.711053	1109.071783	516	0.823529412	3374.241811	1387.651043	-1.758428048	0.485857137	13468.0433	11446.95968	2601	1	13468.0433	11446.95968	0.549650705	0.169725512	12880.74943	2882.887792	1505	0.960784314	13382.06744	3057.850899	-0.946020068	1.050277409
AAW39214.1	"AAW39214.1 reductive dehalogenase, putative [Dehalococcoides ethenogenes 195]."	15268.15	7785.25	2500	1	15268.15	7785.25	27097.54657	17521.96537	2500	1	27097.54657	17521.96537	0.790626018	0.350966639	26811.6159	19345.07111	2500	1	26811.6159	19345.07111	1.002388813	0.363435953	25845.65385	17307.98634	2500	1	25845.65385	17307.98634	0.852560626	0.306797071	27710.70581	18121.31535	2500	1	27710.70581	18121.31535	0.934904946	0.354704211	39890.02665	31873.83579	2500	1	39890.02665	31873.83579	1.467380254	0.454159123	20530.5567	13201.78611	2500	1	20530.5567	13201.78611	0.640666341	0.296851088	193901.3258	4018.096925	621	0.94	206252.0121	4640.370206	-1.185776509	1.070717636
ABQ16703.1	ABQ16703.1 reductive dehalogenase [Dehalococcoides sp. BAV1].	3476.03	3427.25	2500	1	3476.03	3427.25	3652.376571	3421.027616	2500	1	3652.376571	3421.027616	0.035547532	0.152828308	3196.062044	2834.347789	2500	1	3196.062044	2834.347789	-0.208847	0.250050561	7534.031784	7121.113313	2500	1	7534.031784	7121.113313	0.720078031	0.27061596	7556.865502	7368.037976	2500	1	7556.865502	7368.037976	0.77724174	0.258314013	1146.581045	708.0891371	62	0.4	2003.516299	1211.364854	-1.556358473	0.2641356	5601.510795	5351.123228	2500	1	5601.510795	5351.123228	0.457796785	0.239693149	47284.63653	1118.625709	181	0.7	67329.61049	6798.140593	-1.223808572	0.912361761
ADC74676.1	ADC74676.1 reductive dehalogenase [Dehalococcoides sp. GT].	9431.08	8218.5	2500	1	9431.08	8218.5	7838.697055	5468.8469	2500	1	7838.697055	5468.8469	-0.339423688	0.303767886	10953.55646	9137.394272	2500	1	10953.55646	9137.394272	0.105433995	0.174706396	15321.45295	11931.89536	2500	1	15321.45295	11931.89536	0.469593503	0.153977192	15235.00782	12215.64657	2500	1	15235.00782	12215.64657	0.419139392	0.174769524	4835.519213	2305.717827	2125	0.98	4919.840935	2395.439843	-1.433443552	0.374691484	18886.25202	15294.79824	2500	1	18886.25202	15294.79824	0.63565512	0.189565724	78899.78195	4135.545022	2500	1	78899.78195	4135.545022	-0.88484998	1.430043931
ADC74708.1	ADC74708.1 reductive dehalogenase [Dehalococcoides sp. GT].	15192.57	9784	2500	1	15192.57	9784	13522.72159	7983.533676	2500	1	13522.72159	7983.533676	-0.115954774	0.403397374	16497.67957	8929.810677	2500	1	16497.67957	8929.810677	-0.072794551	0.565622405	22020.52757	11390.36217	2500	1	22020.52757	11390.36217	0.243804254	0.259846366	23407.33548	12654.87682	2500	1	23407.33548	12654.87682	0.367246325	0.328085838	16272.69406	10057.73525	1961	0.98	16591.35516	10558.01059	-0.096012119	1.063250644	21282.85359	11175.18423	2500	1	21282.85359	11175.18423	0.249743443	0.29363118	150644.1417	7122.697933	936	0.96	156893.8176	12805.16766	-0.437142318	2.229630205
AAR24312.1	AAR24312.1 reductive dehalogenase homologous protein RdhA9 [Dehalococcoides sp. CBDB1].	11324.82653	9450	2401	1	11324.82653	9450	5519.333448	4959.192223	2401	1	5519.333448	4959.192223	-0.611551472	0.422902	6621.501294	5444.134062	1394	0.979591837	6752.31755	5464.705847	-0.53560086	0.439703735	10072.15227	9226.86118	1394	0.979591837	10275.47827	9362.663682	0.006465196	0.550190526	10440.89138	8937.618125	1394	0.979591837	10652.92746	9032.486533	0.044700608	0.461517563	5002.283039	2490.371816	1865	0.959183673	5196.680046	2559.712055	-1.265174459	0.607432041	12076.33709	10026.46335	1394	0.979591837	12320.22212	10606.58354	0.146109135	0.490355321	129281.5844	5384.323023	1952	0.979591837	131964.8326	6728.740795	-0.693054309	1.535152804
AAW39229.1	"AAW39229.1 reductive dehalogenase, putative [Dehalococcoides ethenogenes 195]."	6525.979592	5711	2401	1	6525.979592	5711	21862.30259	19654.14233	2401	1	21862.30259	19654.14233	1.291430302	0.456406348	18884.13112	16029.073	2401	1	18884.13112	16029.073	1.101203553	0.521541892	16955.23506	14157.36482	2401	1	16955.23506	14157.36482	0.981963863	0.51735507	16568.20182	14395.96447	2401	1	16568.20182	14395.96447	1.027530353	0.510085639	30267.15135	28974.81888	2401	1	30267.15135	28974.81888	1.635289287	0.415063615	12928.09092	10884.72923	2401	1	12928.09092	10884.72923	0.731285017	0.407952547	90986.65623	3029.356314	993	0.918367347	99027.49504	3619.227197	-0.913904174	1.423343019
ABA64547.1	ABA64547.1 reductive dehalogenase protein [Dehalococcoides sp. KB1].	8650.44898	4923	2401	1	8650.44898	4923	7886.170613	4933.223355	2401	1	7886.170613	4933.223355	0.027828038	0.274585775	8600.067606	5606.706904	2401	1	8600.067606	5606.706904	0.101238091	0.326810402	13452.46725	8487.175934	2401	1	13452.46725	8487.175934	0.536321428	0.352355889	13565.66218	9228.142557	2401	1	13565.66218	9228.142557	0.596463951	0.398601762	4716.773898	1899.62787	1419	0.918367347	5079.238029	1956.002389	-0.93182395	0.606986915	14192.82339	9805.181387	2401	1	14192.82339	9805.181387	0.634226501	0.397488015	134443.7187	3273.878302	716	0.857142857	156764.5561	3988.740111	-0.918245127	1.32962079
