Gene	Annotation	Mean Probe Intensity VSgDNA 	Median Probe Intensity VSgDNA 	Bright Segment Length Dependent Score VSgDNA 	Bright Probe Fraction VSgDNA 	Mean Bright Probe Intensity VSgDNA 	Median Bright Probe Intensity VSgDNA 	Sequence Identity to VS
ACZ62459.1	ACZ62459.1 reductive dehalogenase [Dehalococcoides sp. VS].	26434.30189	24906	2809	1	26434.30189	24906	
AAQ94119.1	AAQ94119.1 vinyl chloride reductase precursor [bacterium VS].	22773.38462	20237.75	2704	1	22773.38462	20237.75	
ACZ61277.1	ACZ61277.1 reductive dehalogenase [Dehalococcoides sp. VS].	23274.875	22183.5	2704	1	23274.875	22183.5	
ACZ62535.1	ACZ62535.1 reductive dehalogenase [Dehalococcoides sp. VS].	41134.97115	42070.75	2704	1	41134.97115	42070.75	
ACZ61261.1	ACZ61261.1 reductive dehalogenase [Dehalococcoides sp. VS].	19719.2451	18374.5	2601	1	19719.2451	18374.5	
ACZ62362.1	ACZ62362.1 reductive dehalogenase [Dehalococcoides sp. VS].	53753.11765	60520.5	2601	1	53753.11765	60520.5	
ACZ62419.1	ACZ62419.1 reductive dehalogenase [Dehalococcoides sp. VS].	21079.63725	18692	2601	1	21079.63725	18692	
ACZ62452.1	ACZ62452.1 reductive dehalogenase [Dehalococcoides sp. VS].	26693.87255	27049	2601	1	26693.87255	27049	
ACZ62463.1	ACZ62463.1 reductive dehalogenase [Dehalococcoides sp. VS].	29955.03922	27329	2601	1	29955.03922	27329	
ACZ62426.1	ACZ62426.1 reductive dehalogenase [Dehalococcoides sp. VS].	23004.51	20189.5	2500	1	23004.51	20189.5	
ACZ62470.1	ACZ62470.1 reductive dehalogenase [Dehalococcoides sp. VS].	33871.93	30732.5	2500	1	33871.93	30732.5	
ACZ62474.1	ACZ62474.1 reductive dehalogenase [Dehalococcoides sp. VS].	34794.31	32279	2500	1	34794.31	32279	
ACZ62477.1	ACZ62477.1 reductive dehalogenase [Dehalococcoides sp. VS].	30855.58	27898.5	2500	1	30855.58	27898.5	
ACZ62482.1	ACZ62482.1 reductive dehalogenase [Dehalococcoides sp. VS].	31576.05	28135	2500	1	31576.05	28135	
ACZ62501.1	ACZ62501.1 reductive dehalogenase [Dehalococcoides sp. VS].	40431.75	38279.5	2500	1	40431.75	38279.5	
ACZ61269.1	ACZ61269.1 reductive dehalogenase [Dehalococcoides sp. VS].	37137.14286	35370	2401	1	37137.14286	35370	
ACZ62364.1	ACZ62364.1 reductive dehalogenase [Dehalococcoides sp. VS].	36458.97959	35524	2401	1	36458.97959	35524	
ACZ62415.1	ACZ62415.1 reductive dehalogenase [Dehalococcoides sp. VS].	42379.08163	40073.5	2401	1	42379.08163	40073.5	
ACZ62423.1	ACZ62423.1 reductive dehalogenase [Dehalococcoides sp. VS].	28615.93878	24642	2401	1	28615.93878	24642	
ACZ62486.1	ACZ62486.1 reductive dehalogenase [Dehalococcoides sp. VS].	27542.72449	25665	2401	1	27542.72449	25665	
ACZ62492.1	ACZ62492.1 reductive dehalogenase [Dehalococcoides sp. VS].	43630.35714	44289	2401	1	43630.35714	44289	
ACZ62498.1	ACZ62498.1 reductive dehalogenase [Dehalococcoides sp. VS].	47288.89796	46391	2401	1	47288.89796	46391	
ACZ62529.1	ACZ62529.1 reductive dehalogenase [Dehalococcoides sp. VS].	44325.32653	42209.5	2401	1	44325.32653	42209.5	
ACZ62413.1	ACZ62413.1 reductive dehalogenase [Dehalococcoides sp. VS].	20872.54167	20511	2304	1	20872.54167	20511	
ACZ62439.1	ACZ62439.1 reductive dehalogenase [Dehalococcoides sp. VS].	25044	23621	2304	1	25044	23621	
ACZ62443.1	ACZ62443.1 reductive dehalogenase [Dehalococcoides sp. VS].	25862.27083	24283.75	2304	1	25862.27083	24283.75	
ACZ61255.1	ACZ61255.1 reductive dehalogenase [Dehalococcoides sp. VS].	21462.2766	20858.5	2209	1	21462.2766	20858.5	
ACZ61272.1	ACZ61272.1 reductive dehalogenase [Dehalococcoides sp. VS].	20749.87234	19014	2209	1	20749.87234	19014	
ACZ62428.1	ACZ62428.1 reductive dehalogenase [Dehalococcoides sp. VS].	20221.71277	19394	2209	1	20221.71277	19394	
ACZ62441.1	ACZ62441.1 reductive dehalogenase [Dehalococcoides sp. VS].	36361.26596	33420.5	2209	1	36361.26596	33420.5	
